round,dataset,algorithm,fcpc,device,gpu_name,gpu_monitor_backend,gpu_sample_count,pairing_metric,reference_strategy,fcpc_update_rule,grad_center_mix,grad_center_step_scale,grad_center_direction,proximal_frequency,mean_effective_proximal_contraction,min_effective_proximal_contraction,max_effective_proximal_contraction,std_effective_proximal_contraction,mean_grad_proxy_distance,grad_proxy_available_fraction,center_clip_limit,mean_center_distance,mean_center_clip_scale,safe_pairing_limit,safe_pairing_feasible_edges,train_pool_examples,assigned_unique_examples,client_examples_min,client_examples_max,alpha,beta_base,beta,beta_schedule,beta_min,partner_weighting,mean_partner_weight,mean_effective_beta,lambda_jsdn,learning_rate,train_clients,train_examples,train_task_loss,train_algorithm_loss,train_fcpc_raw_loss,train_fcpc_weighted_loss,train_total_loss,client_update_second_moment,client_update_variance,server_update_norm,update_cancellation_fraction,mean_pair_update_disagreement,pairing_strategy,selected_clients,pair_count,unpaired_count,paired_global_mass,pair_individual_kl_residual,pair_mixture_kl_residual,pair_mixture_kl_residual_normalized,pair_complementarity_gain,pair_complementarity_gain_normalized,pair_kl_identity_error,mean_pair_label_entropy,min_pair_label_entropy,mean_pair_class_coverage,min_pair_class_coverage,mean_selected_pairing_score,total_selected_pairing_score,pairing_time_s,round_time_s,process_cpu_mean_pct,process_cpu_peak_pct,rss_peak_mib,gpu_util_mean_pct,gpu_util_peak_pct,gpu_memory_peak_mib,server_download_bytes,server_upload_bytes,peer_upload_bytes,round_total_bytes,cumulative_total_bytes,val_loss,val_acc,test_loss,test_acc
1,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,7,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.05,6,21474.0,1.6269074719056766,0.0,0.0,0.0,1.6269074719056766,146.52901300627363,76.38536608945229,8.375180243931045,0.5212985969179382,0.0,fair_greedy_dissimilar,6;4;8;9;3;0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2455912909999824,12.24404761904762,26.166666666666668,2351.9453125,58.142857142857146,98.0,755.17919921875,268406448,268406448,0,536812896,536812896,3.1750645935058595,0.1,,
2,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.049949148470570824,6,28447.0,1.229730457774649,0.0,0.0,0.0,1.229730457774649,45.217129026200936,28.354298209138978,4.106437312862761,0.6270699231103236,0.0,fair_greedy_dissimilar,2;6;0;9;5;3,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.399751122000453,11.742708333333335,24.383333333333336,2970.234375,79.25,97.0,755.17919921875,268406448,268406448,0,536812896,1073625792,2.90808143157959,0.1012,,
3,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.04979680284212534,6,29161.0,0.9775040791418231,0.0,0.0,0.0,0.9775040791418231,17.29452855367652,10.664032070594125,2.574974239028921,0.6166132941361364,0.0,fair_greedy_dissimilar,2;0;4;5;8;3,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.692073547000291,11.347222222222221,24.45,3465.4453125,76.0,97.0,755.17919921875,268406448,268406448,0,536812896,1610438688,2.8507931266784667,0.173,,
4,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,6,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.04954358913552887,6,15934.0,1.1171363510637522,0.0,0.0,0.0,1.1171363510637522,17.445230799808567,10.511375957688049,2.6332212817189604,0.6025358220784484,0.0,fair_greedy_dissimilar,7;4;3;5;9;8,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.987475064000137,13.12638888888889,18.525000000000002,3682.0078125,53.333333333333336,97.0,755.17919921875,268406448,268406448,0,536812896,2147251584,2.9513452865600587,0.1374,,
5,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.04919054786021598,6,32001.0,1.0839467826312321,0.0,0.0,0.0,1.0839467826312321,32.419439097216774,19.62592260293834,3.576802620074157,0.6053751286502769,0.0,fair_greedy_dissimilar,4;9;1;2;0;5,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.44771012000001,11.572222222222223,26.59166666666667,3835.125,83.77777777777777,97.0,755.17919921875,268406448,268406448,0,536812896,2684064480,2.3624789520263674,0.174,,
6,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,7,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.048739129738514055,6,21474.0,0.9375677506822864,0.0,0.0,0.0,0.9375677506822864,17.102259756077938,10.787281859754213,2.5129609665654162,0.6307521398020443,0.0,fair_greedy_dissimilar,4;6;3;8;9;0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.299639358000604,12.289285714285715,25.40833333333333,3952.21484375,81.14285714285714,97.0,755.17919921875,268406448,268406448,0,536812896,3220877376,2.8370421955108642,0.1822,,
7,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.04819118974431404,6,28794.0,0.9471683697318951,0.0,0.0,0.0,0.9471683697318951,19.219377543429886,13.236727003578078,2.4459464023003576,0.6887176086006372,0.0,fair_greedy_dissimilar,5;3;2;6;4;0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83977296699959,11.098148148148148,23.40833333333333,4006.25,73.22222222222223,97.0,755.17919921875,268406448,268406448,0,536812896,3757690272,2.575169506454468,0.1746,,
8,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.047548979480584876,6,29161.0,0.8520680985076777,0.0,0.0,0.0,0.8520680985076777,15.437111857474482,10.840470473814,2.1439771240906587,0.702234592126868,0.0,fair_greedy_dissimilar,0;5;2;8;3;4,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.955841042999964,11.073148148148148,24.3,4024.28125,74.88888888888889,98.0,755.17919921875,268406448,268406448,0,536812896,4294503168,2.3522179527282714,0.2558,,
9,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,6,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.04681513792705389,6,15567.0,1.0642481280282918,0.0,0.0,0.0,1.0642481280282918,19.412787213922325,11.22175574421745,2.861997982832481,0.5780599476275718,0.0,fair_greedy_dissimilar,9;5;3;6;7;4,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.099399394000102,13.225,19.941666666666666,4060.28125,65.66666666666667,97.0,755.17919921875,268406448,268406448,0,536812896,4831316064,2.6710964866638185,0.1982,,
10,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.04599268059607305,6,24805.0,1.0177322274613492,0.0,0.0,0.0,1.0177322274613492,22.455710509910077,15.323105257810832,2.670693267099156,0.6823702138580283,0.0,fair_greedy_dissimilar,1;3;6;2;9;5,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.046153678999872,11.570833333333333,23.3,4123.29296875,58.25,97.0,755.17919921875,268406448,268406448,0,536812896,5368128960,2.242905854034424,0.164,,
11,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.04508498714123193,6,23261.0,0.9127570963070905,0.0,0.0,0.0,0.9127570963070905,14.539702789794934,10.621834571073432,1.9793604201504553,0.7305400440779268,0.0,fair_greedy_dissimilar,1;5;7;3;4;8,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.743896433000373,11.436458333333334,23.15833333333333,4177.328125,71.625,97.0,755.17919921875,268406448,268406448,0,536812896,5904941856,2.2592278038024904,0.2284,,
12,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.04409578746963608,6,22803.0,0.9144435361545922,0.0,0.0,0.0,0.9144435361545922,20.722944190358188,9.730015665792191,3.3155582701928408,0.46952872419745995,0.0,fair_greedy_dissimilar,9;4;3;0;7;5,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.63936781800021,11.289583333333333,23.724999999999998,4177.421875,58.75,97.0,755.17919921875,268406448,268406448,0,536812896,6441754752,2.636459708404541,0.236,,
13,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,10,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.04302914641491876,6,36101.0,0.8777500323899443,0.0,0.0,0.0,0.8777500323899443,23.201993555017527,16.808600743774935,2.528516108498382,0.7244463629482734,0.0,fair_greedy_dissimilar,8;5;1;4;2;0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.541642647000117,11.066666666666666,23.825,4177.47265625,80.1,98.0,755.17919921875,268406448,268406448,0,536812896,6978567648,2.1744575363159178,0.1806,,
