round,dataset,algorithm,fcpc,device,gpu_name,gpu_monitor_backend,gpu_sample_count,pairing_metric,reference_strategy,fcpc_update_rule,grad_center_mix,grad_center_step_scale,grad_center_direction,proximal_frequency,mean_effective_proximal_contraction,min_effective_proximal_contraction,max_effective_proximal_contraction,std_effective_proximal_contraction,mean_grad_proxy_distance,grad_proxy_available_fraction,center_clip_limit,mean_center_distance,mean_center_clip_scale,safe_pairing_limit,safe_pairing_feasible_edges,train_pool_examples,assigned_unique_examples,client_examples_min,client_examples_max,alpha,beta_base,beta,beta_schedule,beta_min,partner_weighting,mean_partner_weight,mean_effective_beta,lambda_jsdn,learning_rate,train_clients,train_examples,train_task_loss,train_algorithm_loss,train_fcpc_raw_loss,train_fcpc_weighted_loss,train_total_loss,client_update_second_moment,client_update_variance,server_update_norm,update_cancellation_fraction,mean_pair_update_disagreement,pairing_strategy,selected_clients,pair_count,unpaired_count,paired_global_mass,pair_individual_kl_residual,pair_mixture_kl_residual,pair_mixture_kl_residual_normalized,pair_complementarity_gain,pair_complementarity_gain_normalized,pair_kl_identity_error,mean_pair_label_entropy,min_pair_label_entropy,mean_pair_class_coverage,min_pair_class_coverage,mean_selected_pairing_score,total_selected_pairing_score,pairing_time_s,round_time_s,process_cpu_mean_pct,process_cpu_peak_pct,rss_peak_mib,gpu_util_mean_pct,gpu_util_peak_pct,gpu_memory_peak_mib,server_download_bytes,server_upload_bytes,peer_upload_bytes,round_total_bytes,cumulative_total_bytes,val_loss,val_acc,test_loss,test_acc
1,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,10,jsdn,global_center,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.05,6,21474.0,1.652127043899127,0.0,103.37456687530725,1.0337456435067833,2.685872699702109,92.440812916466,50.08151386386399,6.5084019687186965,0.5417684586493272,93.79346144091083,random,6;4;8;9;3;0,3,0,0.47719999999999996,0.6068991773472842,0.5301321097341403,1.110922275218232,0.07676706761314385,0.16086979801580858,4.163336342344337e-17,0.4680124637558851,0.3313399040331822,0.8000000000000002,0.7,0.6217162746034246,1.8651488238102738,0.00023321498883888125,9.509942061966285,11.809166666666666,26.508333333333336,2405.78515625,68.0,85.0,800.03369140625,268406448,268406448,268406448,805219344,805219344,3.085912531280518,0.1,,
2,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,11,jsdn,global_center,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.049949148470570824,6,28447.0,1.0785798574829075,0.0,15.53468900029092,0.15534688657580253,1.2339267477832636,21.677766399705355,13.649278478158411,2.833458155444646,0.629644264514037,29.009787964557844,random,2;6;0;9;5;3,3,0,0.6321555555555556,0.7764432785855012,0.5262294592798299,0.8324366600201196,0.2502138193056713,0.39581052022199914,0.0,0.5654430396020774,0.46001004722535316,0.8666666666666667,0.8,0.6703059588486369,2.0109178765459106,0.0002578940475359559,11.295778119005263,11.413636363636364,23.90833333333333,3051.484375,68.81818181818181,86.0,800.03369140625,268406448,268406448,268406448,805219344,1610438688,3.054061277770996,0.1076,,
3,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,12,jsdn,global_center,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04979680284212534,6,29161.0,0.9332428029145132,0.0,7.18949341227834,0.07189493271319135,1.0051377364353022,11.141007004711113,7.075796185594562,2.0162359357884196,0.6351131143669886,16.835371445902336,random,2;0;4;5;8;3,3,0,0.6480222222222223,0.7896558221679258,0.45909546926372347,0.7084563669581823,0.33056035290420227,0.5101065080309009,1.1102230246251565e-16,0.6885670233403632,0.6768375747396354,0.8666666666666667,0.8,0.5844580534507736,1.7533741603523207,0.00023157399846240878,11.603354140999727,10.658333333333333,26.558333333333334,3256.4140625,81.66666666666667,96.0,800.03369140625,268406448,268406448,268406448,805219344,2415658032,2.9439101066589357,0.1304,,
4,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,global_center,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04954358913552887,6,15934.0,0.9850193417527168,0.0,6.625558106736278,0.06625557971162299,1.0512749195450504,10.390103842445177,7.13242026667024,1.8049052913685188,0.686462891977851,13.636195909753168,random,7;4;3;5;9;8,3,0,0.3540888888888889,0.4821689261539326,0.40922194069411344,1.1557039871491843,0.07294698545981915,0.2060132010601143,0.0,0.5004461153720857,0.3711983581676492,0.8666666666666667,0.8,0.6760989808569592,2.0282969425708774,0.00023762002820149064,7.639727317960933,11.858333333333334,25.724999999999998,3284.0546875,73.875,97.0,800.03369140625,268406448,268406448,268406448,805219344,3220877376,3.0265410236358643,0.14,,
5,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,12,jsdn,global_center,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04919054786021598,6,32001.0,0.9735073375462003,0.0,12.790037481026319,0.12790037188549544,1.1014077099728319,14.732130691532019,9.33035874403517,2.3241713605761802,0.6333339266106663,19.154195408040973,random,4;9;1;2;0;5,3,0,0.7111333333333334,0.8562519997378137,0.5898920170943857,0.8295097268600153,0.26635998264342814,0.37455702068542435,-5.551115123125783e-17,0.6182182452266617,0.5258469849223226,0.9,0.8,0.7454746290145141,2.2364238870435424,0.0002349030110053718,12.517681455006823,10.92986111111111,27.875,3410.12890625,59.25,85.0,800.03369140625,268406448,268406448,268406448,805219344,4026096720,2.320024270629883,0.213,,
6,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,global_center,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.048739129738514055,6,21474.0,0.8706688525343759,0.0,6.9009128374063105,0.06900912680853193,0.93967797997789,10.80129956197558,6.899322077367179,1.975341338749922,0.6387496354317708,15.242444196020637,random,4;6;3;8;9;0,3,0,0.4772,0.606899177347284,0.43358115072980363,0.9085941968352967,0.17331802661748053,0.36319787639874374,-1.1102230246251565e-16,0.5626577967028575,0.4638492352967031,0.8000000000000002,0.8,0.6015756846909498,1.8047270540728495,0.00023545901058241725,9.346553742943797,11.710185185185185,27.491666666666664,3599.0078125,72.44444444444444,89.0,800.03369140625,268406448,268406448,268406448,805219344,4831316064,2.892490588378906,0.142,,
7,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,12,jsdn,global_center,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04819118974431404,6,28794.0,0.8790789516367763,0.0,8.166965273823134,0.08166965060513716,0.9607486043190339,11.969438102306675,8.091979030803142,1.9691271431903703,0.6760531553020999,16.336147285729925,random,5;3;2;6;4;0,3,0,0.6398666666666667,0.7837610705718967,0.5927756235321089,0.9264049127924185,0.19098544703978776,0.29847694369627176,5.551115123125783e-17,0.5682020233217401,0.4815512169406951,0.7999999999999999,0.6,0.5809942961861604,1.742982888558481,0.00022844300838187337,11.594928140053526,10.140972222222222,26.416666666666668,3644.06640625,84.08333333333333,93.0,800.03369140625,268406448,268406448,268406448,805219344,5636535408,2.486951271820068,0.2032,,
8,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,12,jsdn,global_center,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.047548979480584876,6,29161.0,0.801360727891539,0.0,6.670197584861992,0.06670197430794775,0.8680627019042108,10.111212234651589,7.042688887150477,1.7517192370182013,0.6965230069225855,15.621870484088866,random,0;5;2;8;3;4,3,0,0.6480222222222223,0.7896558221679258,0.520625953402513,0.8034075615758405,0.26902986876541285,0.4151553134132429,-5.551115123125783e-17,0.5919642372819985,0.4945119924406532,0.8333333333333334,0.7,0.7204874598258711,2.1614623794776135,0.00028400204610079527,11.791522085026372,10.553472222222224,25.28333333333333,3644.3203125,70.25,96.0,800.03369140625,268406448,268406448,268406448,805219344,6441754752,2.3443556552886964,0.2956,,
9,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,7,jsdn,global_center,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04681513792705389,6,15567.0,0.9662727805363877,0.0,9.048237648789513,0.0904823746233143,1.056755153975245,14.585757734890553,9.345343025777984,2.289195413565145,0.6407169420514842,18.526042418004455,random,9;5;3;6;7;4,3,0,0.34593333333333337,0.47627417455790344,0.39548868617682004,1.14325116451191,0.08078548838108336,0.23352906643211607,4.163336342344337e-17,0.501993854204175,0.4090340263117941,0.8333333333333334,0.8,0.7381358650907123,2.214407595272137,0.00029110501054674387,7.631612105993554,11.674999999999999,21.766666666666666,3653.2734375,61.57142857142857,97.0,800.03369140625,268406448,268406448,268406448,805219344,7246974096,2.9181870338439944,0.1994,,
10,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,10,jsdn,global_center,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04599268059607305,6,24805.0,0.9383390007781252,0.0,11.054927788760436,0.11054927549169397,1.0488882751095754,14.437761978902602,9.884869309715672,2.1337502528084435,0.6846540240784496,18.205233555872443,random,1;3;6;2;9;5,3,0,0.5512222222222223,0.7467839182014142,0.5314934983629473,0.9642091282536839,0.2152904198384668,0.39056919543362245,5.551115123125783e-17,0.5712554578523903,0.5258469849223226,0.8333333333333334,0.7,0.8283797021017815,2.4851391063053443,0.0002363379462622106,10.439343855017796,11.41,24.825,3679.92578125,62.6,85.0,800.03369140625,268406448,268406448,268406448,805219344,8052193440,2.205389407348633,0.1662,,
