round,dataset,algorithm,fcpc,device,gpu_name,gpu_monitor_backend,gpu_sample_count,pairing_metric,reference_strategy,fcpc_update_rule,grad_center_mix,grad_center_step_scale,grad_center_direction,proximal_frequency,mean_effective_proximal_contraction,min_effective_proximal_contraction,max_effective_proximal_contraction,std_effective_proximal_contraction,mean_grad_proxy_distance,grad_proxy_available_fraction,center_clip_limit,mean_center_distance,mean_center_clip_scale,safe_pairing_limit,safe_pairing_feasible_edges,train_pool_examples,assigned_unique_examples,client_examples_min,client_examples_max,alpha,beta_base,beta,beta_schedule,beta_min,partner_weighting,mean_partner_weight,mean_effective_beta,lambda_jsdn,learning_rate,train_clients,train_examples,train_task_loss,train_algorithm_loss,train_fcpc_raw_loss,train_fcpc_weighted_loss,train_total_loss,client_update_second_moment,client_update_variance,server_update_norm,update_cancellation_fraction,mean_pair_update_disagreement,pairing_strategy,selected_clients,pair_count,unpaired_count,paired_global_mass,pair_individual_kl_residual,pair_mixture_kl_residual,pair_mixture_kl_residual_normalized,pair_complementarity_gain,pair_complementarity_gain_normalized,pair_kl_identity_error,mean_pair_label_entropy,min_pair_label_entropy,mean_pair_class_coverage,min_pair_class_coverage,mean_selected_pairing_score,total_selected_pairing_score,pairing_time_s,round_time_s,process_cpu_mean_pct,process_cpu_peak_pct,rss_peak_mib,gpu_util_mean_pct,gpu_util_peak_pct,gpu_memory_peak_mib,server_download_bytes,server_upload_bytes,peer_upload_bytes,round_total_bytes,cumulative_total_bytes,val_loss,val_acc,test_loss,test_acc
1,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,7,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,1.0,0.0,0.3,0.05,6,21474.0,1.653727415685071,0.0,0.0,0.0,1.653727415685071,144.75544379378582,75.71785606385086,8.308885889706165,0.5230743458152286,145.34624150913655,fair_greedy_dissimilar,6;4;8;9;3;0,3,0,0.47719999999999996,0.606899177347284,0.5411841610104982,1.1340824832575402,0.06571501633678596,0.13770958997650035,-6.938893903907228e-17,0.47237370952430674,0.3711983581676492,0.7666666666666666,0.7,0.6675842100727024,2.002752630218107,0.00019611999960034154,7.3518917009996585,12.872619047619049,25.316666666666666,2447.5859375,66.28571428571429,97.0,755.17919921875,268406448,268406448,268406448,805219344,805219344,3.4673180812835693,0.1,,
2,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,1.0,0.0,0.3,0.049949148470570824,6,28447.0,1.232315476709172,0.0,0.0,0.0,1.232315476709172,57.22650801163455,34.32121028310166,4.785947600734114,0.5997432792454186,81.81847731434192,fair_greedy_dissimilar,2;6;0;9;5;3,3,0,0.6321555555555556,0.7764432785855012,0.5303336399064748,0.8389290187292636,0.24610963867902647,0.38931816151285514,0.0,0.5699068279427122,0.46001004722535316,0.8666666666666667,0.8,0.745791012411778,2.237373037235334,0.00019991099998151185,8.40777505699998,12.021875,25.833333333333332,2989.3203125,83.0,97.0,755.17919921875,268406448,268406448,268406448,805219344,1610438688,2.876099465560913,0.1006,,
3,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,1.0,0.0,0.3,0.04979680284212534,6,29161.0,0.9788891819866632,0.0,0.0,0.0,0.9788891819866632,17.814639966682414,11.280964158376495,2.556104766193575,0.6332414470358636,24.074119074457034,fair_greedy_dissimilar,2;0;4;5;8;3,3,0,0.6480222222222223,0.7896558221679258,0.5292955540634146,0.8167861161432617,0.2603602681045113,0.4017767588458217,0.0,0.5915765827537492,0.4945119924406532,0.8000000000000002,0.7,0.7278342744103887,2.183502823231166,0.0002399150002929673,8.656505812999967,11.555555555555555,27.058333333333334,3214.5234375,67.88888888888889,97.0,755.17919921875,268406448,268406448,268406448,805219344,2415658032,2.911244778442383,0.1564,,
4,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,6,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,1.0,0.0,0.3,0.04954358913552887,6,15934.0,1.1430947932968687,0.0,0.0,0.0,1.1430947932968687,18.107626557835413,10.571456344161735,2.7452085098444234,0.5838123931674946,22.27507767842015,fair_greedy_dissimilar,7;4;3;5;9;8,3,0,0.3540888888888889,0.4821689261539327,0.37986951321562845,1.0728083403227864,0.10229941293830411,0.28890884788651217,1.3877787807814457e-16,0.5368516743369779,0.4945119924406532,0.8333333333333334,0.7,0.8409604390934996,2.5228813172804987,0.00027095199993709684,5.945061257999896,13.637500000000001,20.675,3368.06640625,69.16666666666667,98.0,755.17919921875,268406448,268406448,268406448,805219344,3220877376,3.0288870838165285,0.1412,,
5,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,1.0,0.0,0.3,0.04919054786021598,6,32001.0,1.082017355716056,0.0,0.0,0.0,1.082017355716056,39.40131774729667,25.000747575976074,3.7948083514026134,0.6345155124954407,44.12452657195083,fair_greedy_dissimilar,4;9;1;2;0;5,3,0,0.7111333333333334,0.8562519997378137,0.595988909088609,0.8380832133054406,0.2602630906492049,0.36598353423999935,-1.6653345369377348e-16,0.5953878712939056,0.5258469849223226,0.9333333333333332,0.8,0.7578959161792364,2.273687748537709,0.0001908480003294244,9.405264747999809,11.851851851851853,26.516666666666666,3557.2109375,75.11111111111111,97.0,755.17919921875,268406448,268406448,268406448,805219344,4026096720,2.402361707305908,0.1654,,
6,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,7,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,1.0,0.0,0.3,0.048739129738514055,6,21474.0,0.9789686657046321,0.0,0.0,0.0,0.9789686657046321,17.804743968520757,10.996253357352252,2.6093075248501707,0.6176027146878775,18.438024281000605,fair_greedy_dissimilar,4;6;3;8;9;0,3,0,0.47719999999999996,0.606899177347284,0.5411841610104982,1.1340824832575402,0.06571501633678596,0.13770958997650035,-6.938893903907228e-17,0.47237370952430674,0.3711983581676492,0.7666666666666666,0.7,0.6675842100727024,2.002752630218107,0.0002417729997432616,7.20785299399995,12.958333333333332,25.25,3710.2734375,66.71428571428571,97.0,755.17919921875,268406448,268406448,268406448,805219344,4831316064,3.181603282928467,0.1512,,
7,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,1.0,0.0,0.3,0.04819118974431404,6,28794.0,0.9469819451617129,0.0,0.0,0.0,0.9469819451617129,20.381843025569918,13.8877323698557,2.5483551210490405,0.6813774978626947,29.7778274923467,fair_greedy_dissimilar,5;3;2;6;4;0,3,0,0.6398666666666667,0.7837610705718967,0.5285942136552607,0.8261005631203282,0.25516685691663593,0.39878129336836204,5.551115123125783e-17,0.5794586799000029,0.458158283879414,0.8000000000000002,0.7,0.7296834247187611,2.1890502741562834,0.0002410910001344746,8.791547705000085,11.554629629629629,26.05,3710.3359375,75.44444444444444,97.0,755.17919921875,268406448,268406448,268406448,805219344,5636535408,2.567495032501221,0.1966,,
8,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,1.0,0.0,0.3,0.047548979480584876,6,29161.0,0.8609063623393908,0.0,0.0,0.0,0.8609063623393908,15.748470158484658,10.978944661058774,2.1839235189181103,0.6971437931122453,23.77711985341482,fair_greedy_dissimilar,0;5;2;8;3;4,3,0,0.6480222222222223,0.7896558221679258,0.5292955540634146,0.8167861161432617,0.2603602681045113,0.4017767588458217,0.0,0.5915765827537492,0.4945119924406532,0.8000000000000002,0.7,0.7278342744103887,2.183502823231166,0.00023736699995424715,8.899370631999773,11.473148148148148,27.78333333333333,3773.3515625,84.88888888888889,97.0,755.17919921875,268406448,268406448,268406448,805219344,6441754752,2.3492598426818847,0.2696,,
9,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,6,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,1.0,0.0,0.3,0.04681513792705389,6,15567.0,1.0537329442608125,0.0,0.0,0.0,1.0537329442608125,19.23507742314321,11.09689034473155,2.8527509659995482,0.5769090035364415,23.24656415405836,fair_greedy_dissimilar,9;5;3;6;7;4,3,0,0.3459333333333333,0.47627417455790344,0.3791681728074746,1.0960729605149584,0.09710600175042877,0.28070727042906757,5.551115123125783e-17,0.5247337714832315,0.458158283879414,0.8333333333333334,0.7,0.8428095894018718,2.5284287682056155,0.00019631600025604712,6.034591841000292,13.740277777777777,20.441666666666666,3809.34765625,60.666666666666664,97.0,755.17919921875,268406448,268406448,268406448,805219344,7246974096,2.7783972789764406,0.1834,,
10,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,1.0,0.0,0.3,0.04599268059607305,6,24805.0,1.024774557336447,0.0,0.0,0.0,1.024774557336447,22.09932075180182,15.442474873317419,2.580085902240189,0.6987761145375557,27.328141525033914,fair_greedy_dissimilar,1;3;6;2;9;5,3,0,0.5512222222222223,0.7467839182014142,0.5314934983629473,0.9642091282536839,0.21529041983846683,0.3905691954336225,2.7755575615628914e-17,0.5712554578523904,0.5258469849223226,0.8333333333333334,0.7,0.8283797021017812,2.485139106305344,0.00020061000032001175,7.989379929999814,11.827083333333333,25.125,3809.38671875,56.25,97.0,755.17919921875,268406448,268406448,268406448,805219344,8052193440,2.267927370452881,0.154,,
