round,dataset,algorithm,fcpc,device,gpu_name,gpu_monitor_backend,gpu_sample_count,pairing_metric,reference_strategy,fcpc_update_rule,grad_center_mix,grad_center_step_scale,grad_center_direction,proximal_frequency,mean_effective_proximal_contraction,min_effective_proximal_contraction,max_effective_proximal_contraction,std_effective_proximal_contraction,mean_grad_proxy_distance,grad_proxy_available_fraction,center_clip_limit,mean_center_distance,mean_center_clip_scale,safe_pairing_limit,safe_pairing_feasible_edges,train_pool_examples,assigned_unique_examples,client_examples_min,client_examples_max,alpha,beta_base,beta,beta_schedule,beta_min,partner_weighting,mean_partner_weight,mean_effective_beta,lambda_jsdn,learning_rate,train_clients,train_examples,train_task_loss,train_algorithm_loss,train_fcpc_raw_loss,train_fcpc_weighted_loss,train_total_loss,client_update_second_moment,client_update_variance,server_update_norm,update_cancellation_fraction,mean_pair_update_disagreement,pairing_strategy,selected_clients,pair_count,unpaired_count,paired_global_mass,pair_individual_kl_residual,pair_mixture_kl_residual,pair_mixture_kl_residual_normalized,pair_complementarity_gain,pair_complementarity_gain_normalized,pair_kl_identity_error,mean_pair_label_entropy,min_pair_label_entropy,mean_pair_class_coverage,min_pair_class_coverage,mean_selected_pairing_score,total_selected_pairing_score,pairing_time_s,round_time_s,process_cpu_mean_pct,process_cpu_peak_pct,rss_peak_mib,gpu_util_mean_pct,gpu_util_peak_pct,gpu_memory_peak_mib,server_download_bytes,server_upload_bytes,peer_upload_bytes,round_total_bytes,cumulative_total_bytes,val_loss,val_acc,test_loss,test_acc
1,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,15,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.05,6,21474.0,1.6307491276632133,0.0,57.72556450696279,0.5772556312291752,2.2080047584628106,66.68395724926428,39.22475755362959,5.240152249382613,0.5882188650852358,80.15740182454437,fair_greedy_dissimilar,6;4;8;9;3;0,3,0,0.47719999999999996,0.606899177347284,0.5411841610104982,1.1340824832575402,0.06571501633678596,0.13770958997650035,-6.938893903907228e-17,0.47237370952430674,0.3711983581676492,0.7666666666666666,0.7,0.6675842100727024,2.002752630218107,0.00022751900002049297,14.981495509000013,7.602777777777777,23.5,2383.35546875,39.333333333333336,93.0,800.03369140625,268406448,268406448,268406448,805219344,805219344,3.055630347442627,0.1,,
2,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,11,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.049949148470570824,6,28447.0,1.0939547067099717,0.0,30.92773781770096,0.3092773705025855,1.4032320791264388,28.23151828139011,18.67155225500638,3.091919072406944,0.6613726737957402,39.61550724980628,fair_greedy_dissimilar,2;6;0;9;5;3,3,0,0.6321555555555556,0.7764432785855012,0.5303336399064748,0.8389290187292636,0.24610963867902647,0.38931816151285514,0.0,0.5699068279427122,0.46001004722535316,0.8666666666666667,0.8,0.745791012411778,2.237373037235334,0.00024111999999831824,10.852103062999959,10.862121212121211,26.349999999999998,2950.3125,70.36363636363636,86.0,800.03369140625,268406448,268406448,268406448,805219344,1610438688,2.8640708366394043,0.1006,,
3,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,11,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04979680284212534,6,29161.0,0.9150398057419791,0.0,22.61002836681672,0.22610027846544883,1.1411400823893034,11.371789457278235,7.2780263024963405,2.023304252468721,0.640007396070994,14.588355064591147,fair_greedy_dissimilar,2;0;4;5;8;3,3,0,0.6480222222222223,0.7896558221679258,0.5292955540634146,0.8167861161432617,0.2603602681045113,0.4017767588458217,0.0,0.5915765827537492,0.4945119924406532,0.8000000000000002,0.7,0.7278342744103887,2.183502823231166,0.0001954950000140343,11.324131679000004,11.363636363636365,24.141666666666666,3312.68359375,64.72727272727273,97.0,800.03369140625,268406448,268406448,268406448,805219344,2415658032,2.97605068359375,0.162,,
4,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04954358913552887,6,15934.0,1.0334526564469073,0.0,17.703613518456585,0.1770361311991131,1.2104887868374403,14.819766602153269,10.042990435359167,2.185583654336895,0.6776753616746862,20.236137838785798,fair_greedy_dissimilar,7;4;3;5;9;8,3,0,0.3540888888888889,0.4821689261539327,0.37986951321562845,1.0728083403227864,0.10229941293830411,0.28890884788651217,1.3877787807814457e-16,0.5368516743369779,0.4945119924406532,0.8333333333333334,0.7,0.8409604390934996,2.5228813172804987,0.00023714299999255672,7.426750602000027,10.85,26.53333333333333,3439.34765625,76.125,97.0,800.03369140625,268406448,268406448,268406448,805219344,3220877376,3.027734410476685,0.1064,,
5,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,12,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04919054786021598,6,32001.0,0.974360221397325,0.0,18.16236548188932,0.18162365054910123,1.1559838714616297,18.450598897778207,10.164879911738344,2.878492575171422,0.5509240891733461,18.509419606150022,fair_greedy_dissimilar,4;9;1;2;0;5,3,0,0.7111333333333334,0.8562519997378137,0.595988909088609,0.8380832133054406,0.2602630906492049,0.36598353423999935,-1.6653345369377348e-16,0.5953878712939056,0.5258469849223226,0.9333333333333332,0.8,0.7578959161792364,2.273687748537709,0.0002352680000399232,12.287634029999992,11.059027777777777,20.583333333333332,3547.40625,66.83333333333333,96.0,800.03369140625,268406448,268406448,268406448,805219344,4026096720,2.571593817138672,0.1808,,
6,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.048739129738514055,6,21474.0,0.8763618601693047,0.0,14.94106014742802,0.1494105977885015,1.025772456456865,12.389071510297157,8.020134443341567,2.090199683302077,0.647355759271801,13.683850074795922,fair_greedy_dissimilar,4;6;3;8;9;0,3,0,0.47719999999999996,0.606899177347284,0.5411841610104982,1.1340824832575402,0.06571501633678596,0.13770958997650035,-6.938893903907228e-17,0.47237370952430674,0.3711983581676492,0.7666666666666666,0.7,0.6675842100727024,2.002752630218107,0.00019446499999276057,9.175501482000016,11.875000000000002,20.666666666666668,3588.00390625,54.888888888888886,85.0,800.03369140625,268406448,268406448,268406448,805219344,4831316064,2.914189389038086,0.2322,,
7,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,11,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04819118974431404,6,28794.0,0.8964211172781662,0.0,15.998622855734741,0.15998622479994049,1.056407345242158,13.081194885974973,8.20290845476767,2.2086848386503446,0.6270762144432108,16.26238235111575,fair_greedy_dissimilar,5;3;2;6;4;0,3,0,0.6398666666666667,0.7837610705718967,0.5285942136552607,0.8261005631203282,0.25516685691663593,0.39878129336836204,5.551115123125783e-17,0.5794586799000029,0.458158283879414,0.8000000000000002,0.7,0.7296834247187611,2.1890502741562834,0.00019138999999768203,11.428980539000008,11.235606060606061,27.71666666666667,3651.01953125,68.9090909090909,96.0,800.03369140625,268406448,268406448,268406448,805219344,5636535408,2.815102927398682,0.1888,,
8,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,12,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.047548979480584876,6,29161.0,0.8196422101019636,0.0,14.309919777346886,0.14309919474138072,0.9627414046440558,11.347836877135448,7.815861263461429,1.879354330683848,0.6887536595298931,16.96234364989728,fair_greedy_dissimilar,0;5;2;8;3;4,3,0,0.6480222222222223,0.7896558221679258,0.5292955540634146,0.8167861161432617,0.2603602681045113,0.4017767588458217,0.0,0.5915765827537492,0.4945119924406532,0.8000000000000002,0.7,0.7278342744103887,2.183502823231166,0.00019299399997407818,11.573176682999986,11.113194444444444,25.933333333333334,3705.10546875,77.75,84.0,800.03369140625,268406448,268406448,268406448,805219344,6441754752,2.6918807975769043,0.2506,,
9,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04681513792705389,6,15567.0,1.0279262074617366,0.0,20.484338604278967,0.20484338254463988,1.2327695891845967,15.362684375592554,8.860548866711653,2.5499285662674014,0.5767578416571009,18.852182366282513,fair_greedy_dissimilar,9;5;3;6;7;4,3,0,0.3459333333333333,0.47627417455790344,0.3791681728074746,1.0960729605149584,0.09710600175042877,0.28070727042906757,5.551115123125783e-17,0.5247337714832315,0.458158283879414,0.8333333333333334,0.7,0.8428095894018718,2.5284287682056155,0.0001961230000233627,7.401708348,10.826041666666667,26.3,3741.109375,76.25,97.0,800.03369140625,268406448,268406448,268406448,805219344,7246974096,2.864122124481201,0.1516,,
10,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,10,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04599268059607305,6,24805.0,0.984146378285893,0.0,20.617047328983578,0.20617046951736998,1.1903168457406492,16.018305513478186,10.43242088015945,2.363447063419198,0.6512813407832223,17.185557314182876,fair_greedy_dissimilar,1;3;6;2;9;5,3,0,0.5512222222222223,0.7467839182014142,0.5314934983629473,0.9642091282536839,0.21529041983846683,0.3905691954336225,2.7755575615628914e-17,0.5712554578523904,0.5258469849223226,0.8333333333333334,0.7,0.8283797021017812,2.485139106305344,0.00020009299998946517,10.205787691000012,11.609166666666667,20.891666666666666,3741.10546875,62.7,97.0,800.03369140625,268406448,268406448,268406448,805219344,8052193440,2.395922587966919,0.1314,,
