round,dataset,algorithm,fcpc,device,gpu_name,gpu_monitor_backend,gpu_sample_count,pairing_metric,reference_strategy,fcpc_update_rule,grad_center_mix,grad_center_step_scale,grad_center_direction,proximal_frequency,mean_effective_proximal_contraction,min_effective_proximal_contraction,max_effective_proximal_contraction,std_effective_proximal_contraction,mean_grad_proxy_distance,grad_proxy_available_fraction,center_clip_limit,mean_center_distance,mean_center_clip_scale,safe_pairing_limit,safe_pairing_feasible_edges,train_pool_examples,assigned_unique_examples,client_examples_min,client_examples_max,alpha,beta_base,beta,beta_schedule,beta_min,partner_weighting,mean_partner_weight,mean_effective_beta,lambda_jsdn,learning_rate,train_clients,train_examples,train_task_loss,train_algorithm_loss,train_fcpc_raw_loss,train_fcpc_weighted_loss,train_total_loss,client_update_second_moment,client_update_variance,server_update_norm,update_cancellation_fraction,mean_pair_update_disagreement,pairing_strategy,selected_clients,pair_count,unpaired_count,paired_global_mass,pair_individual_kl_residual,pair_mixture_kl_residual,pair_mixture_kl_residual_normalized,pair_complementarity_gain,pair_complementarity_gain_normalized,pair_kl_identity_error,mean_pair_label_entropy,min_pair_label_entropy,mean_pair_class_coverage,min_pair_class_coverage,mean_selected_pairing_score,total_selected_pairing_score,pairing_time_s,round_time_s,process_cpu_mean_pct,process_cpu_peak_pct,rss_peak_mib,gpu_util_mean_pct,gpu_util_peak_pct,gpu_memory_peak_mib,server_download_bytes,server_upload_bytes,peer_upload_bytes,round_total_bytes,cumulative_total_bytes,val_loss,val_acc,test_loss,test_acc
1,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,14,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.05,6,21474.0,1.6853316893643748,0.0,92.48905385574216,0.9248905138642497,2.610222205843041,98.32560391716095,56.79261888445296,6.444608743449077,0.5775974903634284,114.36090790324931,random,6;4;8;9;3;0,3,0,0.47719999999999996,0.6068991773472842,0.5301321097341403,1.110922275218232,0.07676706761314385,0.16086979801580858,4.163336342344337e-17,0.4680124637558851,0.3313399040331822,0.8000000000000002,0.7,0.6217162746034246,1.8651488238102738,0.0003127919917460531,14.675918708002428,7.6672619047619035,22.75,2391.98828125,32.785714285714285,84.0,800.03369140625,268406448,268406448,268406448,805219344,805219344,2.9295549728393553,0.1,,
2,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,11,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.049949148470570824,6,28447.0,1.0612450974303633,0.0,31.685056280621694,0.31685055643585924,1.3780956563494655,19.028968703006797,11.503755634049593,2.743211731645588,0.6045392305759105,23.34555145965598,random,2;6;0;9;5;3,3,0,0.6321555555555556,0.7764432785855012,0.5262294592798299,0.8324366600201196,0.2502138193056713,0.39581052022199914,0.0,0.5654430396020774,0.46001004722535316,0.8666666666666667,0.8,0.6703059588486369,2.0109178765459106,0.00023425700783263892,10.939816582002095,10.851515151515152,26.825,2957.42578125,66.0909090909091,97.0,800.03369140625,268406448,268406448,268406448,805219344,1610438688,3.0437944412231444,0.1086,,
3,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,11,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04979680284212534,6,29161.0,0.9386361193695348,0.0,40.68490772025583,0.4068490675944392,1.3454851871745044,21.90046612510166,14.95828072345696,2.6348022994066005,0.6830120821491836,28.452704029841765,random,2;0;4;5;8;3,3,0,0.6480222222222223,0.7896558221679258,0.45909546926372347,0.7084563669581823,0.33056035290420227,0.5101065080309009,1.1102230246251565e-16,0.6885670233403632,0.6768375747396354,0.8666666666666667,0.8,0.5844580534507736,1.7533741603523207,0.00023894400510471314,11.283646317009698,11.282575757575756,25.325,3319.87890625,66.9090909090909,97.0,800.03369140625,268406448,268406448,268406448,805219344,2415658032,2.933176689910889,0.1668,,
4,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,7,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04954358913552887,6,15934.0,0.9783461135910883,0.0,16.634722359644,0.166347220270481,1.1446933399124188,9.6347153655383,6.5092260065113035,1.7679052904900816,0.6756013024191508,12.414363603046693,random,7;4;3;5;9;8,3,0,0.3540888888888889,0.4821689261539326,0.40922194069411344,1.1557039871491843,0.07294698545981915,0.2060132010601143,0.0,0.5004461153720857,0.3711983581676492,0.8666666666666667,0.8,0.6760989808569592,2.0282969425708774,0.00023904500994831324,7.383951958996477,12.427380952380952,26.616666666666664,3455.4609375,74.28571428571429,92.0,800.03369140625,268406448,268406448,268406448,805219344,3220877376,2.878605219268799,0.1358,,
5,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,12,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04919054786021598,6,32001.0,0.961467987701098,0.0,17.008154764931177,0.17008154373048473,1.1315495297817963,15.451578126689137,9.291378070809593,2.481975127163836,0.6013222415631725,17.700123037234956,random,4;9;1;2;0;5,3,0,0.7111333333333334,0.8562519997378137,0.5898920170943857,0.8295097268600153,0.26635998264342814,0.37455702068542435,-5.551115123125783e-17,0.6182182452266617,0.5258469849223226,0.9,0.8,0.7454746290145141,2.2364238870435424,0.0002424929989501834,12.240783710003598,11.068750000000001,19.45,3572.5859375,65.33333333333333,84.0,800.03369140625,268406448,268406448,268406448,805219344,4026096720,2.589515536880493,0.1628,,
6,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.048739129738514055,6,21474.0,0.875823000284106,0.0,18.911866579018483,0.18911866144822487,1.0649416629907482,11.603301418410851,7.403926600097568,2.0492370871229664,0.6380881192505166,13.884976841267575,random,4;6;3;8;9;0,3,0,0.4772,0.606899177347284,0.43358115072980363,0.9085941968352967,0.17331802661748053,0.36319787639874374,-1.1102230246251565e-16,0.5626577967028575,0.4638492352967031,0.8000000000000002,0.8,0.6015756846909498,1.8047270540728495,0.00024072598898783326,9.162428541007102,11.927777777777779,23.666666666666668,3653.671875,59.333333333333336,97.0,800.03369140625,268406448,268406448,268406448,805219344,4831316064,3.1566099937438965,0.1364,,
7,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,11,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04819118974431404,6,28794.0,0.899324576548506,0.0,15.063441218589258,0.15063440885309165,1.0499589851500881,12.324970931276393,8.247297623098875,2.0193255615000667,0.6691533192196122,14.18011796252454,random,5;3;2;6;4;0,3,0,0.6398666666666667,0.7837610705718967,0.5927756235321089,0.9264049127924185,0.19098544703978776,0.29847694369627176,5.551115123125783e-17,0.5682020233217401,0.4815512169406951,0.7999999999999999,0.6,0.5809942961861604,1.742982888558481,0.00023709099332336336,11.403556720004417,11.183333333333334,26.675,3707.69140625,76.18181818181819,97.0,800.03369140625,268406448,268406448,268406448,805219344,5636535408,2.5115947528839113,0.2058,,
8,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,12,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.047548979480584876,6,29161.0,0.8198343266377434,0.0,14.547573594480241,0.14547573253606916,0.9653100568871044,10.643480216304505,7.3432904915966475,1.8166416916385986,0.6899334645500569,14.847979099442542,random,0;5;2;8;3;4,3,0,0.6480222222222223,0.7896558221679258,0.520625953402513,0.8034075615758405,0.26902986876541285,0.4151553134132429,-5.551115123125783e-17,0.5919642372819985,0.4945119924406532,0.8333333333333334,0.7,0.7204874598258711,2.1614623794776135,0.0002446930011501536,11.515976242997567,10.133333333333335,27.166666666666668,3734.77734375,79.91666666666667,97.0,800.03369140625,268406448,268406448,268406448,805219344,6441754752,2.5758904750823977,0.204,,
9,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04681513792705389,6,15567.0,0.9815198518319068,0.0,16.261907242163378,0.16261906859260875,1.1441389140637386,14.009300359469236,8.806236354909164,2.2810226560789917,0.6285992716239553,17.25738373402902,random,9;5;3;6;7;4,3,0,0.34593333333333337,0.47627417455790344,0.39548868617682004,1.14325116451191,0.08078548838108336,0.23352906643211607,4.163336342344337e-17,0.501993854204175,0.4090340263117941,0.8333333333333334,0.8,0.7381358650907123,2.214407595272137,0.0002974860108224675,7.445311765011866,11.096874999999997,26.616666666666664,3797.78125,68.625,86.0,800.03369140625,268406448,268406448,268406448,805219344,7246974096,2.94538070640564,0.1558,,
10,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,10,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04599268059607305,6,24805.0,0.9512517611073573,0.0,19.877031925161432,0.19877031426820466,1.1500220775123662,15.368584702130889,9.871090311151193,2.3446731626812345,0.6422902728944596,16.62521052882394,random,1;3;6;2;9;5,3,0,0.5512222222222223,0.7467839182014142,0.5314934983629473,0.9642091282536839,0.2152904198384668,0.39056919543362245,5.551115123125783e-17,0.5712554578523903,0.5258469849223226,0.8333333333333334,0.7,0.8283797021017815,2.4851391063053443,0.00023533598869107664,10.20458699700248,11.565833333333334,19.383333333333333,3824.74609375,65.1,97.0,800.03369140625,268406448,268406448,268406448,805219344,8052193440,2.3320014251708985,0.1458,,
