round,dataset,algorithm,fcpc,device,gpu_name,gpu_monitor_backend,gpu_sample_count,pairing_metric,reference_strategy,fcpc_update_rule,grad_center_mix,grad_center_step_scale,grad_center_direction,proximal_frequency,mean_effective_proximal_contraction,min_effective_proximal_contraction,max_effective_proximal_contraction,std_effective_proximal_contraction,mean_grad_proxy_distance,grad_proxy_available_fraction,center_clip_limit,mean_center_distance,mean_center_clip_scale,safe_pairing_limit,safe_pairing_feasible_edges,train_pool_examples,assigned_unique_examples,client_examples_min,client_examples_max,alpha,beta_base,beta,beta_schedule,beta_min,partner_weighting,mean_partner_weight,mean_effective_beta,lambda_jsdn,learning_rate,train_clients,train_examples,train_task_loss,train_algorithm_loss,train_fcpc_raw_loss,train_fcpc_weighted_loss,train_total_loss,client_update_second_moment,client_update_variance,server_update_norm,update_cancellation_fraction,mean_pair_update_disagreement,pairing_strategy,selected_clients,pair_count,unpaired_count,paired_global_mass,pair_individual_kl_residual,pair_mixture_kl_residual,pair_mixture_kl_residual_normalized,pair_complementarity_gain,pair_complementarity_gain_normalized,pair_kl_identity_error,mean_pair_label_entropy,min_pair_label_entropy,mean_pair_class_coverage,min_pair_class_coverage,mean_selected_pairing_score,total_selected_pairing_score,pairing_time_s,round_time_s,process_cpu_mean_pct,process_cpu_peak_pct,rss_peak_mib,gpu_util_mean_pct,gpu_util_peak_pct,gpu_memory_peak_mib,server_download_bytes,server_upload_bytes,peer_upload_bytes,round_total_bytes,cumulative_total_bytes,val_loss,val_acc,test_loss,test_acc
1,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,10,jsdn,self_history,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.05,6,21474.0,1.6719886596902096,0.0,62.77200984144895,0.6277200833276206,2.2997087360460955,72.90377250076929,42.487188231425776,5.515122873925002,0.5827845491237122,88.88727794289893,random,6;4;8;9;3;0,3,0,0.47719999999999996,0.6068991773472842,0.5301321097341403,1.110922275218232,0.07676706761314385,0.16086979801580858,4.163336342344337e-17,0.4680124637558851,0.3313399040331822,0.8000000000000002,0.7,0.6217162746034246,1.8651488238102738,0.0002906569861806929,9.55789450899465,11.5975,25.95,2378.984375,70.1,97.0,800.03369140625,268406448,268406448,268406448,805219344,805219344,2.9645793964385985,0.1,,
2,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,11,jsdn,self_history,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.049949148470570824,6,28447.0,1.092103386099621,0.0,28.11121339114407,0.2811121273213947,1.3732155157475705,23.484318713804814,14.849934874548822,2.938431749323558,0.6323341864562098,30.0502717620233,random,2;6;0;9;5;3,3,0,0.6321555555555556,0.7764432785855012,0.5262294592798299,0.8324366600201196,0.2502138193056713,0.39581052022199914,0.0,0.5654430396020774,0.46001004722535316,0.8666666666666667,0.8,0.6703059588486369,2.0109178765459106,0.0004396150470711291,11.330365885049105,11.512878787878789,24.016666666666666,3092.79296875,68.45454545454545,90.0,800.03369140625,268406448,268406448,268406448,805219344,1610438688,2.824087056350708,0.1142,,
3,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,12,jsdn,self_history,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04979680284212534,6,29161.0,0.9269111657239932,0.0,20.43574620015966,0.20435745749575443,1.1312686215988677,15.754730143766597,11.725369814556815,2.0073257720516917,0.7442446352064528,26.739033572739412,random,2;0;4;5;8;3,3,0,0.6480222222222223,0.7896558221679258,0.45909546926372347,0.7084563669581823,0.33056035290420227,0.5101065080309009,1.1102230246251565e-16,0.6885670233403632,0.6768375747396354,0.8666666666666667,0.8,0.5844580534507736,1.7533741603523207,0.00024010799825191498,11.663673825969454,10.637500000000001,26.28333333333333,3534.01171875,75.08333333333333,96.0,800.03369140625,268406448,268406448,268406448,805219344,2415658032,2.7243483047485353,0.1692,,
4,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,self_history,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04954358913552887,6,15934.0,1.0341767419255392,0.0,10.214803130500691,0.10214802901478802,1.1363247716323606,13.778175562796998,9.596312800425803,2.0449602220578527,0.6964864984671472,16.520693165187136,random,7;4;3;5;9;8,3,0,0.3540888888888889,0.4821689261539326,0.40922194069411344,1.1557039871491843,0.07294698545981915,0.2060132010601143,0.0,0.5004461153720857,0.3711983581676492,0.8666666666666667,0.8,0.6760989808569592,2.0282969425708774,0.00024024199228733778,7.768289950967301,11.732291666666669,26.058333333333334,3714.5625,49.625,87.0,800.03369140625,268406448,268406448,268406448,805219344,3220877376,3.0632402187347414,0.139,,
5,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,13,jsdn,self_history,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04919054786021598,6,32001.0,0.9589922446570714,0.0,14.111773850005074,0.14111773525276078,1.1001099829137193,20.810113238582435,12.531439830670791,2.8772684814151814,0.6021802563382321,25.02173127346784,random,4;9;1;2;0;5,3,0,0.7111333333333334,0.8562519997378137,0.5898920170943857,0.8295097268600153,0.26635998264342814,0.37455702068542435,-5.551115123125783e-17,0.6182182452266617,0.5258469849223226,0.9,0.8,0.7454746290145141,2.2364238870435424,0.00023870501900091767,12.649627618957311,10.783333333333333,26.258333333333336,3786.71484375,73.6923076923077,86.0,800.03369140625,268406448,268406448,268406448,805219344,4026096720,2.446773890686035,0.1958,,
6,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,10,jsdn,self_history,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.048739129738514055,6,21474.0,0.8671062253002705,0.0,15.581494392957437,0.15581494071962804,1.0229211645890428,17.624881619205638,12.187083814280177,2.33190780884842,0.6914706069263616,23.7477759185596,random,4;6;3;8;9;0,3,0,0.4772,0.606899177347284,0.43358115072980363,0.9085941968352967,0.17331802661748053,0.36319787639874374,-1.1102230246251565e-16,0.5626577967028575,0.4638492352967031,0.8000000000000002,0.8,0.6015756846909498,1.8047270540728495,0.00024378002854064107,9.46255995501997,10.380833333333333,26.858333333333334,3921.8046875,77.7,85.0,800.03369140625,268406448,268406448,268406448,805219344,4831316064,3.165088243484497,0.1654,,
7,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,12,jsdn,self_history,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04819118974431404,6,28794.0,0.90814325028164,0.0,11.501979325375242,0.11501979072291486,1.0231630398911338,17.62915083277858,12.81630358291562,2.1938208586454433,0.7269947937095695,25.38446411379446,random,5;3;2;6;4;0,3,0,0.6398666666666667,0.7837610705718967,0.5927756235321089,0.9264049127924185,0.19098544703978776,0.29847694369627176,5.551115123125783e-17,0.5682020233217401,0.4815512169406951,0.7999999999999999,0.6,0.5809942961861604,1.742982888558481,0.0002858330262824893,11.81690512195928,10.66388888888889,26.433333333333334,3948.8203125,75.08333333333333,96.0,800.03369140625,268406448,268406448,268406448,805219344,5636535408,2.640465684890747,0.1952,,
8,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,12,jsdn,self_history,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.047548979480584876,6,29161.0,0.8221784128597753,0.0,8.82482809991177,0.08824827894938915,0.9104266938597924,15.93371022847754,12.28218720717814,1.9108950199632941,0.770830539468809,26.05290633285685,random,0;5;2;8;3;4,3,0,0.6480222222222223,0.7896558221679258,0.520625953402513,0.8034075615758405,0.26902986876541285,0.4151553134132429,-5.551115123125783e-17,0.5919642372819985,0.4945119924406532,0.8333333333333334,0.7,0.7204874598258711,2.1614623794776135,0.00023543700808659196,11.840914177999366,10.546527777777778,24.358333333333334,3948.8828125,70.33333333333333,97.0,800.03369140625,268406448,268406448,268406448,805219344,6441754752,2.394302557373047,0.2862,,
9,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,self_history,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04681513792705389,6,15567.0,1.031810596965293,0.0,17.79881632993498,0.17798815992607994,1.2097987561064465,19.6362878689062,12.26822555143748,2.714417547548849,0.6247731408486664,24.15298275745164,random,9;5;3;6;7;4,3,0,0.34593333333333337,0.47627417455790344,0.39548868617682004,1.14325116451191,0.08078548838108336,0.23352906643211607,4.163336342344337e-17,0.501993854204175,0.4090340263117941,0.8333333333333334,0.8,0.7381358650907123,2.214407595272137,0.00023477798094972968,7.719497953017708,11.5125,24.474999999999998,3894.8828125,64.5,86.0,800.03369140625,268406448,268406448,268406448,805219344,7246974096,2.9067234535217286,0.1932,,
10,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,10,jsdn,self_history,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04599268059607305,6,24805.0,0.9640370709740859,0.0,20.082404822838015,0.20082404400295029,1.1648611126059463,20.94118961020947,14.921486858940693,2.4535080510842397,0.712542512207597,26.483534053976797,random,1;3;6;2;9;5,3,0,0.5512222222222223,0.7467839182014142,0.5314934983629473,0.9642091282536839,0.2152904198384668,0.39056919543362245,5.551115123125783e-17,0.5712554578523903,0.5258469849223226,0.8333333333333334,0.7,0.8283797021017815,2.4851391063053443,0.0002409470034763217,10.51779480301775,11.200000000000001,26.183333333333334,3921.84765625,73.4,83.0,800.03369140625,268406448,268406448,268406448,805219344,8052193440,2.4262546234130857,0.1522,,
