round,dataset,algorithm,fcpc,device,gpu_name,gpu_monitor_backend,gpu_sample_count,pairing_metric,reference_strategy,fcpc_update_rule,grad_center_mix,grad_center_step_scale,grad_center_direction,proximal_frequency,mean_effective_proximal_contraction,min_effective_proximal_contraction,max_effective_proximal_contraction,std_effective_proximal_contraction,mean_grad_proxy_distance,grad_proxy_available_fraction,center_clip_limit,mean_center_distance,mean_center_clip_scale,safe_pairing_limit,safe_pairing_feasible_edges,train_pool_examples,assigned_unique_examples,client_examples_min,client_examples_max,alpha,beta_base,beta,beta_schedule,beta_min,partner_weighting,mean_partner_weight,mean_effective_beta,lambda_jsdn,learning_rate,train_clients,train_examples,train_task_loss,train_algorithm_loss,train_fcpc_raw_loss,train_fcpc_weighted_loss,train_total_loss,client_update_second_moment,client_update_variance,server_update_norm,update_cancellation_fraction,mean_pair_update_disagreement,pairing_strategy,selected_clients,pair_count,unpaired_count,paired_global_mass,pair_individual_kl_residual,pair_mixture_kl_residual,pair_mixture_kl_residual_normalized,pair_complementarity_gain,pair_complementarity_gain_normalized,pair_kl_identity_error,mean_pair_label_entropy,min_pair_label_entropy,mean_pair_class_coverage,min_pair_class_coverage,mean_selected_pairing_score,total_selected_pairing_score,pairing_time_s,round_time_s,process_cpu_mean_pct,process_cpu_peak_pct,rss_peak_mib,gpu_util_mean_pct,gpu_util_peak_pct,gpu_memory_peak_mib,server_download_bytes,server_upload_bytes,peer_upload_bytes,round_total_bytes,cumulative_total_bytes,val_loss,val_acc,test_loss,test_acc
1,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,7,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.05,6,21474.0,1.6617708384985141,0.0,0.0,0.0,1.6617708384985141,211.43000913692072,103.03806689699076,10.411145094859297,0.48733889465984526,0.0,fair_greedy_dissimilar,6;4;8;9;3;0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.413137706986163,12.349999999999998,26.625,2355.359375,64.57142857142857,97.0,755.17919921875,268406448,268406448,0,536812896,536812896,3.4701330516815188,0.1,,
2,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.049949148470570824,6,28447.0,1.2781796633650364,0.0,0.0,0.0,1.2781796633650364,62.277972881995716,40.70422483659421,4.644754544425496,0.6535894830931761,0.0,fair_greedy_dissimilar,2;6;0;9;5;3,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.605629626021255,10.25925925925926,22.0,2976.0625,72.88888888888889,98.0,755.17919921875,268406448,268406448,0,536812896,1073625792,2.7564384254455567,0.1,,
3,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.04979680284212534,6,29161.0,0.9808618921866645,0.0,0.0,0.0,0.9808618921866645,17.459926122892643,10.855296681156203,2.5699465703123576,0.621726613974582,0.0,fair_greedy_dissimilar,2;0;4;5;8;3,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.833350102009717,11.323148148148148,25.008333333333336,3381.22265625,80.77777777777777,97.0,755.17919921875,268406448,268406448,0,536812896,1610438688,2.86930761756897,0.1728,,
4,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,6,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.04954358913552887,6,15934.0,1.161521906847934,0.0,0.0,0.0,1.161521906847934,19.581618545895473,11.583654466763234,2.8280670921375717,0.5915575896402128,0.0,fair_greedy_dissimilar,7;4;3;5;9;8,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.113019359007012,13.159722222222221,25.133333333333336,3597.77734375,59.833333333333336,98.0,755.17919921875,268406448,268406448,0,536812896,2147251584,3.0110478759765624,0.1098,,
5,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,10,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.04919054786021598,6,32001.0,1.1211894223594743,0.0,0.0,0.0,1.1211894223594743,39.96653086084031,24.857420609679934,3.8870439869102293,0.6219559058357236,0.0,fair_greedy_dissimilar,4;9;1;2;0;5,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58247477200348,10.840833333333332,24.28333333333333,3732.953125,77.9,98.0,755.17919921875,268406448,268406448,0,536812896,2684064480,2.3962132999420165,0.1532,,
6,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,7,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.048739129738514055,6,21474.0,0.9769733791201655,0.0,0.0,0.0,0.9769733791201655,16.092781716091007,9.900657027164044,2.488396987305666,0.6152237894185517,0.0,fair_greedy_dissimilar,4;6;3;8;9;0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.363656566012651,12.06547619047619,23.974999999999998,3948.98828125,79.57142857142857,98.0,755.17919921875,268406448,268406448,0,536812896,3220877376,3.0974449195861817,0.1346,,
7,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.04819118974431404,6,28794.0,0.9799051897976393,0.0,0.0,0.0,0.9799051897976393,19.597667324702176,13.543419227883785,2.460538865189006,0.6910728503144643,0.0,fair_greedy_dissimilar,5;3;2;6;4;0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.991967768990435,11.179629629629629,24.425,3949.046875,77.0,97.0,755.17919921875,268406448,268406448,0,536812896,3757690272,2.621009090042114,0.1808,,
8,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.047548979480584876,6,29161.0,0.8911592036415155,0.0,0.0,0.0,0.8911592036415155,16.238175307795075,11.532482701632619,2.16926000581241,0.7102082664079683,0.0,fair_greedy_dissimilar,0;5;2;8;3;4,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.095527680998202,11.415740740740741,24.291666666666668,3994.0390625,70.0,98.0,755.17919921875,268406448,268406448,0,536812896,4294503168,2.406016647338867,0.2414,,
9,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,6,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.04681513792705389,6,15567.0,1.118791837908824,0.0,0.0,0.0,1.118791837908824,20.373888909636864,12.108078987532393,2.875032308988956,0.5942939114672097,0.0,fair_greedy_dissimilar,9;5;3;6;7;4,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.164831196016166,13.276388888888889,22.84166666666667,4030.046875,64.83333333333333,97.0,755.17919921875,268406448,268406448,0,536812896,4831316064,2.857783441925049,0.1824,,
10,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.04599268059607305,6,24805.0,1.0745939210306563,0.0,0.0,0.0,1.0745939210306563,43.61394409583209,31.258438576020918,3.5150395533477123,0.7167075044978648,0.0,fair_greedy_dissimilar,1;3;6;2;9;5,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.141105558956042,11.348958333333332,23.175,4048.05859375,58.875,97.0,755.17919921875,268406448,268406448,0,536812896,5368128960,2.4351723423004152,0.1126,,
